,congress,chamber,result,description,vote_result_category,democratic_yes,democratic_no,democratic_present,democratic_not_voting,democratic_majority_position,republican_yes,republican_no,republican_present,republican_not_voting,republican_majority_position,independent_yes,independent_no,independent_present,independent_not_voting,total_yes,total_no,total_present,total_not_voting,pass
3847,112,Senate,Amendment Agreed to,To require disclosure of political intelligence activities under Lobbying Disclosure Act of 1995.,pass,27,24,0,0,Yes,32,14,0,1,Yes,1,1,0,0,60,39,0,1,pass
3848,112,Senate,Amendment Rejected,To express the sense of the Senate that the Senate should pass a joint resolution proposing an amendment to the Constitution that limits the number of terms a Member of Congress may serve.,not pass,1,50,0,0,No,23,23,0,1,None,0,2,0,0,24,75,0,1,not pass
3849,112,Senate,Amendment Rejected,To prevent the creation of duplicative and overlapping Federal programs.,not pass,14,37,0,0,No,46,0,0,1,Yes,0,2,0,0,60,39,0,1,not pass
3850,112,Senate,Amendment Rejected,To prohibit unauthorized earmarks.,not pass,6,45,0,0,No,20,26,0,1,No,0,2,0,0,26,73,0,1,not pass
3851,112,Senate,Amendment Rejected,To prohibit earmarks.,not pass,7,44,0,0,No,33,13,0,1,Yes,0,2,0,0,40,59,0,1,not pass
3852,112,Senate,Amendment Agreed to,To extend the STOCK Act to ensure that the reporting requirements set forth in the STOCK Act apply to the executive branch and independent agencies.,pass,12,39,0,0,No,46,0,0,1,Yes,0,2,0,0,58,41,0,1,pass
3853,112,Senate,Amendment Agreed to,To extend the STOCK Act to ensure that the reporting requirements set forth in the STOCK Act apply to the executive branch and independent agencies.,pass,50,1,0,0,Yes,29,17,0,1,Yes,2,0,0,0,81,18,0,1,pass
3854,112,Senate,Amendment Rejected,"To prohibit executive branch appointees or staff holding positions that give them oversight, rule-making, loan or grant-making abilities over industries or companies in which they or their spouse have a significant financial interest.",not pass,10,41,0,0,No,38,8,0,1,Yes,0,2,0,0,48,51,0,1,not pass
3855,112,Senate,Amendment Rejected,"To require Members of Congress to certify that they are not trading using material, non-public information.",not pass,7,44,0,0,No,30,15,0,2,Yes,0,2,0,0,37,61,0,2,not pass
3856,112,Senate,Cloture Motion Rejected,A bill to eliminate unnecessary tax subsidies and promote renewable energy and energy conservation.,not pass,47,4,0,0,Yes,2,43,0,2,No,2,0,0,0,51,47,0,2,not pass
3857,112,Senate,Nomination Confirmed,"Susie Morgan, of Louisiana, to be United States District Judge for the Eastern District of Louisiana",pass,51,0,0,0,Yes,43,1,0,3,Yes,2,0,0,0,96,1,0,3,pass
3858,112,Senate,Nomination Confirmed,"Miranda Du, of Nevada, to be United States District Judge for the District of Nevada",pass,51,0,0,0,Yes,6,39,0,2,No,2,0,0,0,59,39,0,2,pass
3859,112,Senate,Cloture Motion Rejected,"A bill to improve, sustain, and transform the United States Postal Service.",not pass,44,7,0,0,Yes,5,39,0,3,No,2,0,0,0,51,46,0,3,not pass
3860,112,Senate,Cloture Motion Agreed to,A bill to eliminate unnecessary tax subsidies and promote renewable energy and energy conservation.,pass,47,3,0,1,Yes,43,1,0,3,Yes,2,0,0,0,92,4,0,4,pass
3861,112,Senate,Nomination Confirmed,"Ronnie Abrams, of New York, to be United States District Judge for the Southern District of New York",pass,51,0,0,0,Yes,43,2,0,2,Yes,2,0,0,0,96,2,0,2,pass
3862,112,Senate,Nomination Confirmed,"David Nuffer, of Utah, to be United States District Judge for the District of Utah",pass,51,0,0,0,Yes,43,2,0,2,Yes,2,0,0,0,96,2,0,2,pass
3863,112,Senate,Cloture Motion Agreed to,"An original bill to prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes.",pass,51,0,0,0,Yes,43,3,0,1,Yes,2,0,0,0,96,3,0,1,pass
3864,112,Senate,Bill Passed,A bill to increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies.,pass,26,25,0,0,Yes,46,0,0,1,Yes,1,1,0,0,73,26,0,1,pass
3865,112,Senate,Amendment Agreed to,"To amend the securities laws to provide for registration exemptions for certain crowdfunded securities, and for other purposes.",pass,50,1,0,0,Yes,12,34,0,1,No,2,0,0,0,64,35,0,1,pass
3866,112,Senate,Cloture Motion Agreed to,A bill to increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies.,pass,30,21,0,0,Yes,45,0,0,2,Yes,1,1,0,0,76,22,0,2,pass
3867,112,Senate,Motion Rejected,To reauthorize the Export-Import Bank of the United States.,not pass,51,0,0,0,Yes,3,43,0,1,No,1,1,0,0,55,44,0,1,not pass
3868,112,Senate,Motion Rejected,In the nature of a substitute.,not pass,51,0,0,0,Yes,1,45,0,1,No,2,0,0,0,54,45,0,1,not pass
3869,112,Senate,Nomination Confirmed,"Michael Walter Fitzgerald, of California, to be United States District Judge for the Central District of California",pass,51,0,0,0,Yes,38,6,0,3,Yes,2,0,0,0,91,6,0,3,pass
3870,112,Senate,Nomination Confirmed,"Gina Marie Groh, of West Virginia, to be United States District Judge for the Northern District of West Virginia",pass,51,0,0,0,Yes,42,2,0,3,Yes,2,0,0,0,95,2,0,3,pass
