"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"7010","SRES586","2018-07-19","Honoring the 169th anniversary of the first women's rights convention held in the United States in Seneca Falls, New York.","civil rights and liberties, minority issues","D",0,1,0,"Introduced"
"7012","SRES362","2017-12-20","A resolution recognizing the service of the Los Angeles-class attack submarine the USS Jacksonville and the crew of the USS Jacksonville, who served the United States with valor and bravery.","armed forces and national security","R",0,1,0,"Passed senate"
"7014","SRES369","2018-01-09","A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","R",0,0,0,"Passed senate"
"7015","SRES533","2018-06-05","A resolution commemorating the commissioning of the USS Manchester.","armed forces and national security","D",1,2,0,"Passed senate"
"7019","SRES137","2017-04-24","A resolution supporting the goals and ideals of National Safe Digging Month.","science, technology, communications","R",1,2,0,"Passed senate"
"7023","SRES371","2018-01-10","A resolution expressing the sense of the Senate on the value of the bilateral relationship between the United States and Mexico.","international affairs","R",0,0,0,"Introduced"
"7024","SRES469","2018-04-16","Recognizing the historic, cultural, and religious significance of the festival of Vaisakhi, and for other purposes.","arts, culture, religion","D",0,0,0,"Introduced"
"7025","SRES446","2018-03-22","A resolution designating March 25, 2017, as ""National Cerebral Palsy Awareness Day"".","health","R",0,2,0,"Passed senate"
"7028","SRES372","2018-01-11","A resolution congratulating the North Dakota State University football team for winning the 2017 National Collegiate Athletic Association Division I Football Championship Subdivision title.","sports and recreation","R",0,1,0,"Passed senate"
"7030","SRES574","2018-07-12","Expressing support for the designation of July 13 as Collector Car Appreciation Day and recognizing that the collection and restoration of historic and classic cars is an important part of preserving the technological achievements and cultural heritage of the United States.","transportation and public works","R",0,1,0,"Passed senate"
"7032","SRES373","2018-01-11","Supporting the goals and ideals of Korean American Day.","immigration","D",0,0,0,"Introduced"
"7033","SRES391","2018-02-05","Calling for the immediate extradition or rendering to the United States of convicted felons William Morales, Joanne Chesimard, and all other fugitives from justice who are receiving safe harbor in Cuba in order to escape prosecution or confinement for criminal offenses committed in the United States.","international affairs","D",1,0,0,"Introduced"
"7035","SRES68","2017-02-27","A resolution raising awareness of modern slavery.","international affairs","R",0,1,0,"Passed senate"
"7037","SRES374","2018-01-18","Expressing support for designation of February 12, 2017, as ""Darwin Day"" and recognizing the importance of science in the betterment of humanity.","science, technology, communications","D",0,2,0,"Introduced"
"7040","SRES380","2018-01-23","A resolution congratulating the University of Charleston men's soccer team for winning the National Collegiate Athletic Association Division II Men's Soccer Championship at Swope Soccer Village in Kansas City, Missouri.","sports and recreation","D",1,0,0,"Passed senate"
"7042","SRES363","2017-12-20","A resolution expressing profound concern about the growing political, humanitarian, and economic crisis in Venezuela and the widespread human rights abuses perpetrated by the Government of Venezuela.","international affairs","D",1,4,0,"Introduced"
"7048","SRES16","2017-01-20","A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","R",0,0,0,"Passed senate"
"7049","SRES399","2018-02-07","A resolution congratulating the Philadelphia Eagles on their triumph in Super Bowl LII.","sports and recreation","R",0,1,0,"Passed senate"
"7051","SRES384","2018-01-29","Recognizing the importance of the 2018 Winter Olympic Games in PyeongChang, South Korea, and for other purposes.","international affairs","R",12,9,0,"Introduced"
"7073","SRES23","2017-01-24","A resolution establishing the Select Committee on Cybersecurity.","congress","R",1,2,0,"Introduced"
"7077","SRES109","2017-04-04","A resolution encouraging the Government of Pakistan to release Aasiya Noreen, internationally known as Asia Bibi, and reform its religiously intolerant laws regarding blasphemy.","international affairs","R",4,5,0,"Introduced"
"7087","SRES415","2018-02-27","A resolution designating March 3, 2017, as ""National Speech and Debate Education Day"".","education","R",0,4,0,"Passed senate"
"7092","SRES390","2018-01-30","A resolution raising awareness and encouraging the prevention of stalking by designating January 2018 as ""National Stalking Awareness Month"".","crime and law enforcement","D",2,2,0,"Passed senate"
"7097","SRES420","2018-03-01","A resolution designating March 3, 2017, as ""World Wildlife Day"".","animals","D",1,0,0,"Passed senate"
