"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"200","SRES173","2017-05-18","A resolution designating the week of May 15 through May 21, 2017, as ""National Police Week"".","crime and law enforcement","R",39,27,1,"Passed senate"
"268","SRES175","2017-05-22","A resolution recognizing the 100th anniversary of the commissioned officer corps of the National Oceanic and Atmospheric Administration.","public lands and natural resources","R",2,2,0,"Passed senate"
"273","SRES179","2017-05-25","Expressing support for the goals and ideals of June 1 through June 3, 2018 as ""National Gun Violence Awareness Weekend"" and June 2018 as ""National Gun Violence Awareness Month"".","crime and law enforcement","D",0,9,0,"Introduced"
"283","SRES177","2017-05-24","Congratulating the Webster University chess team for winning a record-breaking fifth consecutive national title at the President's Cup collegiate chess championship in New York City.","education","D",1,0,0,"Passed senate"
"285","SRES178","2017-05-24","A resolution to authorize testimony, document production, and representation in United States v. Kevin Lee Olson.","congress","R",0,1,0,"Passed senate"
"287","SRES181","2017-05-25","A resolution designating the week of May 20 through May 26, 2018, as ""National Public Works Week"".","transportation and public works","R",0,1,0,"Passed senate"
"289","SRES183","2017-05-25","Recognizing the significance of Asian/Pacific American Heritage Month in May as an important time to celebrate the significant contributions of Asian Americans and Pacific Islanders to the history of the United States.","civil rights and liberties, minority issues","D",3,20,0,"Passed senate"
"313","SRES207","2017-06-28","Expressing support for the designation of July 15, 2018, as ""National Leiomyosarcoma Awareness Day"" and the designation of July 2018, as ""National Sarcoma Awareness Month"".","health","D",0,0,0,"Introduced"
"314","SRES176","2017-05-24","A resolution commemorating the 50th anniversary of the reunification of Jerusalem.","international affairs","R",31,14,0,"Passed senate"
"360","SRES182","2017-05-25","A resolution designating May 2017 as ""Melanoma Awareness Month"".","health","D",1,1,0,"Passed senate"
"363","SRES479","2018-04-23","Expressing support for the designation of April 2018 as ""National Donate Life Month"".","health","D",1,1,0,"Passed senate"
"366","SRES185","2017-06-07","A resolution recognizing and expressing support for the goals and ideals of National Water Safety Month.","health","R",1,3,0,"Introduced"
"371","SRES186","2017-06-07","Recognizing the Aviation Cadet Museum in Eureka Springs, Arkansas, as the national aviation cadet museum of the United States.","transportation and public works","R",1,0,0,"Introduced"
"373","SRES187","2017-06-07","Congratulating and honoring Fermi National Accelerator Laboratory on 50 years of groundbreaking discoveries.","science, technology, communications","D",0,1,0,"Passed senate"
"375","SRES189","2017-06-08","A resolution designating the week of June 4 through June 10, 2018, as ""Hemp History Week"".","agriculture and food","D",2,1,0,"Passed senate"
"379","SRES188","2017-06-08","A resolution condemning the recent terrorist attacks in the United Kingdom, the Philippines, Indonesia, Egypt, Iraq, Australia, and Iran and offering thoughts and prayers and sincere condolences to all of the victims, their families, and the people of their countries.","international affairs","R",0,1,0,"Passed senate"
"381","SRES195","2017-06-20","Reaffirming the leadership of the United States in promoting the safety, health, and well-being of refugees and displaced persons.","international affairs","D",0,18,0,"Introduced"
"400","SRES404","2018-02-13","Recognizing the coordinated struggle of workers on the 50th anniversary of the 1968 Memphis sanitation workers strike to voice their grievances and reach a collective agreement for rights in the workplace.","labor and employment","R",1,3,0,"Passed senate"
"405","SRES193","2017-06-15","A resolution commending the bravery of the United States Capitol Police, the Police Department of Alexandria, Virginia, and all first responders who protected Members of Congress, their staff, and others during the shooting on June 14, 2017, at Eugene Simpson Stadium Park in the Del Ray neighborhood of Alexandria, Virginia.","congress","D",52,45,2,"Passed senate"
"505","SRES192","2017-06-15","Congratulating the Golden State Warriors for their historic championship victory in the 2017 National Basketball Association Finals.","sports and recreation","D",0,1,0,"Passed senate"
"507","SRES244","2017-08-02","A resolution to authorize testimony, document production, and representation in United States of America v. Robert Menendez, et al.","congress","R",0,1,0,"Passed senate"
"509","SRES196","2017-06-21","Expressing the sense of the House of Representatives on the challenges posed to long-term stability in Lebanon by the conflict in Syria and supporting the establishment of safe zones in Syria.","international affairs","D",1,1,0,"Introduced"
"512","SRES198","2017-06-21","A resolution expressing the sense of the Senate that any sweeping health care legislation must be drafted in public under the watchful eye of the people of the United States.","health","D",0,0,0,"Introduced"
"513","SRES197","2017-06-21","A resolution to provide sufficient time for legislation to be read.","congress","R",0,0,0,"Introduced"
"514","SRES20","2017-01-24","An original resolution authorizing expenditures by the Committee on Commerce, Science, and Transportation.","congress","R",0,0,0,"Introduced"
"515","SRES203","2017-06-26","A resolution designating the month of June 2018 as ""National Post-Traumatic Stress Awareness Month"" and June 27, 2018, as ""National Post-Traumatic Stress Awareness Day"".","armed forces and national security","D",10,23,0,"Passed senate"
"549","SRES200","2017-06-22","A resolution welcoming the President of the Republic of Korea on his official visit to the United States and celebrating the United States-Republic of Korea relationship, and for other purposes.","international affairs","D",9,9,0,"Introduced"
"568","SRES199","2017-06-22","A resolution designating June 2018 as ""Great Outdoors Month"".","sports and recreation","R",2,4,0,"Passed senate"
"575","SRES202","2017-06-26","Expressing support for the designation of June 26 as ""LGBT Equality Day"".","civil rights and liberties, minority issues","D",0,35,1,"Introduced"
"612","SRES215","2017-06-29","Expressing support for the designation of July 13 as Collector Car Appreciation Day and recognizing that the collection and restoration of historic and classic cars is an important part of preserving the technological achievements and cultural heritage of the United States.","transportation and public works","R",0,1,0,"Passed senate"
"614","SRES205","2017-06-28","A resolution honoring the 100th anniversary of Fort Custer in Augusta, Michigan.","armed forces and national security","D",0,1,0,"Introduced"
"616","SRES623","2018-09-06","A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","R",0,0,0,"Passed senate"
"617","SRES208","2017-06-28","A resolution expressing the sense of the Senate that flowers grown in the United States support the farmers, small businesses, jobs, and economy of the United States, that flower farming is an honorable vocation, and designating July as ""American Grown Flower Month"".","agriculture and food","D",1,0,0,"Introduced"
"619","SRES238","2017-08-01","A resolution recognizing the 10th anniversary and honoring the victims of the collapse of the Interstate 35W Mississippi River bridge.","transportation and public works","D",0,1,0,"Passed senate"
"621","SRES204","2017-06-28","A resolution honoring the 100th anniversary of Selfridge Air National Guard Base in Harrison Township, Michigan.","armed forces and national security","D",0,1,0,"Introduced"
"623","SRES226","2017-07-20","Designating the week of July 17 through July 21, 2017, as ""National Ectodermal Dysplasias Week"" and supporting the goals and ideals of National Ectodermal Dysplasias Week to raise awareness and understanding of ectodermal dysplasias.","health","D",0,0,0,"Introduced"
"624","SRES152","2017-05-03","A resolution designating April 2018 as ""National Donate Life Month"".","health","D",0,1,0,"Passed senate"
"626","SRES212","2017-06-29","A resolution recognizing June 2018 as ""LGBTQ Pride Month"".","civil rights and liberties, minority issues","D",0,31,1,"Introduced"
"659","SRES217","2017-07-11","A resolution welcoming Prime Minister Youssef Chahed of the Tunisian Republic on his first official visit to the United States, congratulating the people of the Tunisian Republic on their embrace of democracy after decades of dictatorship, and encouraging future reforms.","international affairs","D",4,7,0,"Introduced"
"671","SRES537","2018-06-07","A resolution commending the Yale University Men's Lacrosse Team for winning the 2018 National Collegiate Athletic Association Division I Men's Lacrosse Championship.","sports and recreation","D",0,1,0,"Passed senate"
"673","SRES216","2017-07-10","Calling for the unconditional release of United States citizens and legal permanent resident aliens being held for political purposes by the Government of Iran.","international affairs","R",0,0,0,"Introduced"
"674","SRES218","2017-07-11","A resolution celebrating and reaffirming the strategic partnership between the United States and Romania on the twentieth anniversary of its inception.","international affairs","R",0,1,0,"Introduced"
"676","SRES258","2017-09-14","A resolution designating the week beginning September 9, 2018, as ""National Direct Support Professionals Recognition Week"".","health","D",2,6,1,"Passed senate"
"686","SRES201","2017-06-22","A resolution affirming the importance of title IX, applauding the increase in educational opportunities available to women and girls, and recognizing the tremendous amount of work left to be done to further increase those opportunities.","civil rights and liberties, minority issues","D",0,37,1,"Introduced"
"725","SRES220","2017-07-13","A resolution expressing solidarity with Falun Gong practitioners who have lost lives, freedoms, and rights for adhering to their beliefs and practices and condemning the practice of non-consenting organ harvesting, and for other purposes.","international affairs","D",10,12,1,"Introduced"
"749","SRES233","2017-07-26","A resolution designating August 16, 2018, as ""National Airborne Day"".","armed forces and national security","D",8,7,0,"Passed senate"
"765","SRES224","2017-07-19","A resolution recognizing the 6th anniversary of the death of Oswaldo Paya Sardinas, and commemorating his legacy and commitment to democratic values and principles.","international affairs","D",2,4,0,"Passed senate"
"772","SRES227","2017-07-20","Recognizing the millions of youth in this Nation benefitting from youth sports and the parents, volunteers, and local and national organizations that make youth sports in this country possible, and for other purposes.","sports and recreation","R",1,3,0,"Passed senate"
"777","SRES222","2017-07-19","A resolution designating July 26, 2018, as ""United States Intelligence Professionals Day"".","armed forces and national security","D",8,5,1,"Passed senate"
"792","SRES228","2017-07-20","Urging the Government of Kenya and Kenya's political parties to respect democratic principles and hold credible, peaceful, and transparent elections in August 2017.","international affairs","D",0,3,0,"Introduced"
"796","SRES229","2017-07-24","Recognizing the contributions of the Montagnard indigenous tribespeople of the Central Highlands of Vietnam to the United States Armed Forces during the Vietnam War, and condemning the ongoing violation of human rights by the Government of the Socialist Republic of Vietnam.","international affairs","R",1,0,0,"Introduced"
"798","SRES529","2018-05-24","A resolution promoting minority health awareness and supporting the goals and ideals of National Minority Health Month in April 2018, which include bringing attention to the health disparities faced by minority populations of the United States such as American Indians, Alaskan Natives, Asian Americans, African Americans, Hispanics, and Native Hawaiians or other Pacific Islanders.","health","D",4,9,1,"Passed senate"
"813","SRES242","2017-08-02","Expressing the sense of the House of Representatives about a strategy to deploy fifth generation mobile networks (5G networks) and next-generation wireless and wired technologies to promote economic development and digital innovation throughout the United States.","science, technology, communications","R",2,3,0,"Introduced"
"819","SRES230","2017-07-24","A resolution designating the week of September 15 through September 22, 2018, as ""National Estuaries Week"".","environmental protection","D",4,23,1,"Passed senate"
"848","SRES231","2017-07-25","Expressing support for the designation of July 30, 2018, as ""National Whistleblower Appreciation Day"".","government operations and politics","R",5,7,0,"Passed senate"
"861","SRES134","2017-04-07","A resolution congratulating the University of South Carolina women's basketball team for winning the 2017 National Collegiate Athletic Association Division I Women's Basketball Tournament Championship.","sports and recreation","R",1,0,0,"Introduced"
"863","SRES234","2017-07-27","A resolution recognizing the Sailors and Marines who sacrificed their lives for ship and shipmates while fighting the devastating 1967 fire onboard USS Forrestal and, during the week of the 50th anniversary of the tragic event, commemorating the efforts of those who survived.","armed forces and national security","R",12,12,1,"Passed senate"
"889","SRES236","2017-07-27","Recognizing July 28, 2018, as ""World Hepatitis Day"".","health","D",0,1,0,"Introduced"
"891","SRES602","2018-08-01","A resolution supporting the agreement between Prime Minister Tsipras of Greece and Prime Minister Zaev of Macedonia to resolve longstanding bilateral disputes.","international affairs","D",4,3,0,"Introduced"
"899","SRES235","2017-07-27","National Defense Authorization Act for Fiscal Year 2018","armed forces and national security","R",0,0,0,"Became law"
"900","SRES409","2018-02-15","A resolution honoring the dedication and courage of the Buffalo Soldiers.","armed forces and national security","D",4,21,1,"Passed senate"
"927","SRES239","2017-08-01","A resolution congratulating the Pittsburgh Penguins for winning the 2017 Stanley Cup hockey championship.","sports and recreation","D",1,0,0,"Passed senate"
"929","SRES251","2017-09-13","A resolution amending rule XXXI of the Standing Rules of the Senate, to provide for timely consideration of nominations.","congress","R",0,0,0,"Introduced"
"930","SRES241","2017-08-01","A resolution supporting the goals and ideals of National Purple Heart Recognition Day.","armed forces and national security","R",17,14,0,"Passed senate"
"962","SRES240","2017-08-01","A resolution congratulating the University of Florida baseball team for winning the 2017 National Collegiate Athletic Association College World Series.","sports and recreation","R",0,1,0,"Passed senate"
"964","SRES274","2017-09-28","A resolution supporting the goals and ideals of National Retirement Security Week, including raising public awareness of the various tax-preferred retirement vehicles, increasing personal financial literacy, and engaging the people of the United States on the keys to success in achieving and maintaining retirement security throughout their lifetimes.","finance and financial sector","R",2,2,0,"Passed senate"
"969","SRES289","2017-10-05","Encouraging observance of National Wildlife Refuge Week with appropriate events and activities, and for other purposes.","public lands and natural resources","D",1,0,0,"Passed senate"
"971","SRES246","2017-08-03","A resolution designating the first week in August as ""World Breastfeeding Week"", and designating August as ""National Breastfeeding Month"".","health","D",0,1,0,"Introduced"
"973","SRES296","2017-10-19","A resolution designating the week of November 5 through 12, 2017, as ""National Carbon Monoxide Poisoning Awareness Week"".","health","D",1,0,0,"Introduced"
"975","SRES247","2017-08-03","Expressing support for the designation of July 29, 2017, as ""Paralympic and Adaptive Sport Day"".","sports and recreation","R",1,2,0,"Passed senate"
"979","SRES248","2017-08-03","A resolution expressing the sense of the Senate that flowers grown in the United States support the farmers, small businesses, jobs, and economy of the United States, that flower farming is an honorable vocation, and designating July as ""American Grown Flower Month"".","agriculture and food","D",1,0,0,"Passed senate"
"981","SRES249","2017-08-03","A resolution designating September 2018 as ""National Child Awareness Month"" to promote awareness of charities that benefit children and youth-serving organizations throughout the United States and recognizing the efforts made by those charities and organizations on behalf of children and youth as critical contributions to the future of the United States.","families","D",1,0,0,"Passed senate"
"983","SRES225","2017-07-20","A resolution designating July 28, 2018, as ""National Day of the American Cowboy"".","arts, culture, religion","R",9,5,0,"Passed senate"
"998","SRES256","2017-09-14","A resolution recognizing Hispanic Heritage Month and celebrating the heritage and culture of Latinos in the United States and the immense contributions of Latinos to the United States.","civil rights and liberties, minority issues","D",3,13,0,"Passed senate"
"1015","SRES232","2017-07-26","A resolution supporting the inclusion and meaningful engagement of Latinos in environmental protection and conservation efforts.","environmental protection","D",1,16,0,"Introduced"
"1033","SRES24","2017-01-24","An original resolution authorizing expenditures by the Committee on Veterans' Affairs","congress","R",0,0,0,"Introduced"
"1034","SRES252","2017-09-13","A resolution designating September 2018 as ""National Spinal Cord Injury Awareness Month"".","health","R",0,1,0,"Passed senate"
"1036","SRES253","2017-09-13","A resolution designating the week beginning September 17, 2018, as ""National Hispanic-Serving Institutions Week"".","education","D",3,12,1,"Passed senate"
"1053","SRES298","2017-10-19","A resolution supporting the designation of September 2018 as ""National Alcohol and Drug Addiction Recovery Month"".","health","I",1,0,0,"Passed senate"
"1055","SRES341","2017-11-16","Supporting the designation of the week beginning November 13, 2017, as ""National Apprenticeship Week"".","labor and employment","D",2,1,0,"Introduced"
"1059","SRES295","2017-10-19","A resolution designating October 2018 as ""National Employee Ownership Month"".","labor and employment","D",3,6,2,"Introduced"
"1071","SRES314","2017-10-30","A resolution designating October 30, 2018, as a national day of remembrance for nuclear weapons program workers.","armed forces and national security","R",9,7,0,"Passed senate"
"1088","SRES307","2017-10-25","A resolution designating October 26, 2018, as ""Day of the Deployed"".","armed forces and national security","R",1,4,0,"Passed senate"
"1094","SRES300","2017-10-19","A resolution recognizing the 150th anniversary of McDaniel College.","education","D",0,1,0,"Passed senate"
"1096","SRES301","2017-10-24","A resolution designating the week beginning on October 21, 2018, as ""National Chemistry Week"".","science, technology, communications","D",1,0,0,"Passed senate"
"1098","SRES670","2018-10-09","A resolution recognizing the tenth anniversary of the enactment of the Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008.","health","D",3,8,0,"Passed senate"
"1110","SRES3","2017-01-03","A resolution fixing the hour of daily meeting of the Senate.","congress","R",0,0,0,"Passed senate"
"1111","SRES206","2017-06-28","Urging the Secretary of the Interior to recognize the cultural significance of Rib Mountain by adding it to the National Register of Historic Places.","public lands and natural resources","R",0,0,0,"Introduced"
"1112","SRES237","2017-08-01","A resolution to authorize the production of records by the Permanent Subcommittee on Investigations of the Committee on Homeland Security and Governmental Affairs.","congress","R",0,1,0,"Passed senate"
"1114","SRES309","2017-10-26","A resolution expressing support for the designation of October 2017 as ""National Protect Your Hearing Month"".","health","D",1,0,0,"Introduced"
"1116","SRES322","2017-11-07","A resolution supporting the goals and ideals of American Diabetes Month.","health","D",3,10,1,"Introduced"
"1131","SRES312","2017-10-30","A resolution expressing support for the designation of September 2017 and 2018 each as ""National Month for Renters"".","housing and community development","R",0,1,0,"Passed senate"
"1133","SRES259","2017-09-14","Expressing support for designation of the week of November 18 through 24, 2018, as National Family Service Learning Week.","families","R",3,6,0,"Passed senate"
"1143","SRES254","2017-09-13","A resolution relative to the death of Pietro ""Pete"" Vichi Domenici, former United States Senator for the State of New Mexico.","congress","R",51,46,2,"Passed senate"
"1243","SRES260","2017-09-18","A resolution designating September 2018 as ""School Bus Safety Month"".","transportation and public works","R",0,1,0,"Passed senate"
"1245","SRES261","2017-09-18","A resolution recognizing the month of September 2017 as ""Alaska Wild Salmon Month"".","animals","R",0,0,0,"Passed senate"
"1246","SRES2","2017-01-03","A resolution informing the House of Representatives that a quorum of the Senate is assembled.","congress","R",0,0,0,"Passed senate"
"1247","SRES262","2017-09-18","Commemorating the 70th anniversary of the establishment of the Air Force as an independent military service and celebrating the Air Force for 70 years of serving and defending the United States.","armed forces and national security","R",10,3,0,"Passed senate"
"1261","SRES22","2017-01-24","An original resolution authorizing expenditures by the Committee on Banking, Housing, and Urban Affairs.","congress","R",0,0,0,"Introduced"
"1262","SRES266","2017-09-25","Reaffirming the United States-Liberia partnership, and calling for free, fair, and peaceful elections in Liberia in October 2017.","international affairs","D",0,2,0,"Introduced"
"1265","SRES264","2017-09-19","Expressing support for the designation of September 2018 as ""National Kinship Care Month"".","families","D",2,5,0,"Introduced"
"1273","SRES268","2017-09-26","A resolution recognizing September 25, 2018, as ""National Voter Registration Day"".","government operations and politics","D",0,1,0,"Introduced"
"1275","SRES265","2017-09-19","A resolution designating September 22, 2018, as ""National Falls Prevention Awareness Day"" to raise awareness and encourage the prevention of falls among older adults.","health","R",0,1,1,"Passed senate"
"1278","SRES271","2017-09-28","Supporting the goals and ideals of National Community Gardening Awareness Week.","agriculture and food","D",0,0,0,"Introduced"
"1279","SRES269","2017-09-27","A resolution designating September 2018 as ""National Prostate Cancer Awareness Month"".","health","D",2,5,0,"Passed senate"
"1287","SRES276","2017-09-28","Expressing support for the designation of September 2017 as ""Pulmonary Fibrosis Awareness Month"".","health","D",2,2,0,"Passed senate"
"1292","SRES273","2017-09-28","A resolution expressing support for the designation of September 2018 as ""Sickle Cell Disease Awareness Month"" in order to educate communities across the United States about sickle cell disease and the need for research, early detection methods, effective treatments, and preventative care programs with respect to sickle cell disease, complications from sickle cell disease, and conditions related to sickle cell disease.","health","R",2,4,0,"Passed senate"
"1299","SRES277","2017-09-28","A resolution designating the week of September 23 through 29, 2018, as ""National Adult Education and Family Literacy Week"".","education","D",3,4,0,"Passed senate"
"1307","SRES270","2017-09-28","Expressing support for the designation of September 2017 as National Ovarian Cancer Awareness Month.","health","D",0,5,1,"Introduced"
"1314","SRES130","2017-04-07","Expressing gratitude and appreciation for the entry of the United States into World War I.","international affairs","R",3,4,0,"Passed senate"
"1322","SRES27","2017-01-24","A resolution honoring the life and achievements of Eugene A. ""Gene"" Cernan.","science, technology, communications","R",6,5,0,"Passed senate"
"1334","SRES272","2017-09-28","A resolution commemorating the 230th anniversary of the signing of the Constitution of the United States.","government operations and politics","R",0,1,0,"Passed senate"
"1336","SRES279","2017-10-03","Reaffirming the commitment of the United States to promote democracy, human rights, and the rule of law in Cambodia.","international affairs","R",2,3,0,"Passed senate"
"1342","SRES325","2017-11-08","Expressing support for designation of the week of October 29 through November 4, 2017, as ""National Obesity Care Week"".","health","D",1,1,0,"Passed senate"
"1345","SRES278","2017-10-02","A resolution expressing condolences to the victims of Hurricane Harvey, Hurricane Irma, and Hurricane Maria, commending the resiliency of the people of Texas, Louisiana, Florida, Puerto Rico, and the United States Virgin Islands, and expressing gratitude to other neighboring States willing to stand by the people of the affected areas during the relief and recovery efforts.","emergency management","R",4,2,0,"Introduced"
"1352","SRES303","2017-10-25","A resolution expressing support for the designation of October 2017 as ""National Audiology Awareness Month"".","health","D",1,1,0,"Introduced"
"1355","SRES285","2017-10-05","A resolution honoring the life and achievements of Dr. Samuel DuBois Cook.","education","D",5,0,0,"Passed senate"
"1361","SRES284","2017-10-04","A resolution calling on Congress, schools, and State and local educational agencies to recognize the significant educational implications of dyslexia that must be addressed, and designating October 2018 as ""National Dyslexia Awareness Month"".","education","R",3,2,1,"Passed senate"
"1368","SRES282","2017-10-04","Commending the National Archives and Records Administration and its staff for working to comply with the President John F. Kennedy Assassination Records Collection Act of 1992 and release all records related to the assassination of President John F. Kennedy by October 26, 2017.","government operations and politics","R",0,1,0,"Introduced"
"1370","SRES283","2017-10-04","A resolution designating the week beginning October 21, 2018, as ""National Character Counts Week"".","education","R",3,2,0,"Passed senate"
"1376","SRES407","2018-02-15","A resolution recognizing the critical work of human rights defenders in promoting human rights, the rule of law, democracy, and good governance.","international affairs","D",6,9,0,"Introduced"
"1392","SRES290","2017-10-05","A resolution designating October 5, 2018, as ""Energy Efficiency Day"" in celebration of the economic and environmental benefits that have been driven by private sector innovation and Federal energy policies.","energy","D",5,15,0,"Passed senate"
"1413","SRES263","2017-09-19","A resolution expressing the sense of the Senate that President Juan Manuel Santos has restructured and significantly strengthened the environmental sector and management capacity of the Colombian Government and has led the country to become a global environmental leader.","international affairs","D",0,1,0,"Introduced"
"1415","SRES288","2017-10-05","A resolution designating the week of September 30 through October 6, 2018, as ""National Community Policing Week"".","crime and law enforcement","D",2,1,0,"Passed senate"
"1419","SRES333","2017-11-15","A resolution permitting the collection of clothing, toys, food, and housewares during the holiday season for charitable purposes in Senate buildings.","congress","R",0,1,0,"Passed senate"
"1421","SRES664","2018-10-01","A resolution designating October 8, 2017, as ""National Hydrogen and Fuel Cell Day"".","energy","R",2,3,0,"Passed senate"
"1427","SRES348","2017-12-04","A resolution reaffirming the strategic partnership between the United States of America and the Federal Democratic Republic of Ethiopia and encouraging inclusive governance in the Federal Democratic Republic of Ethiopia.","international affairs","R",1,0,0,"Introduced"
"1429","SRES291","2017-10-16","Affirming the historical connection of the Jewish people to the ancient and sacred city of Jerusalem and condemning efforts at the United Nations Educational, Scientific, and Cultural Organization (UNESCO) to deny Judaism's millennia-old historical, religious, and cultural ties to Jerusalem.","international affairs","R",8,0,0,"Introduced"
"1438","SRES292","2017-10-16","A resolution honoring the memory of the victims of the brutal and senseless attack at a country music festival in Las Vegas, Nevada, 1 year ago.","crime and law enforcement","R",51,46,2,"Passed senate"
"1538","SRES299","2017-10-19","A resolution expressing support for the designation of October 20, 2018, as the ""National Day on Writing"".","education","D",2,0,0,"Passed senate"
"1541","SRES294","2017-10-19","Congratulating the Minnesota Lynx women's basketball team on winning the 2017 Women's National Basketball Association championship.","sports and recreation","D",0,1,0,"Introduced"
"1543","SRES305","2017-10-25","Recognizing Filipino American History Month and celebrating the history and culture of Filipino Americans and their immense contributions to the United States.","immigration","D",2,16,0,"Passed senate"
"1562","SRES306","2017-10-25","A resolution recognizing the month of October 2018 as ""National Principals Month"".","education","D",2,0,0,"Passed senate"
"1565","SRES310","2017-10-26","Recognizing the importance of a continued commitment to ending pediatric HIV/AIDS worldwide.","health","D",4,11,1,"Introduced"
"1582","SRES337","2017-11-16","A resolution designating November 26, 2017, as ""Drive Safer Sunday"".","transportation and public works","R",1,1,0,"Passed senate"
"1585","SRES194","2017-06-15","A resolution designating June 15, 2018, as ""World Elder Abuse Awareness Day"".","crime and law enforcement","D",5,3,0,"Passed senate"
"1594","SRES97","2017-03-23","A resolution authorizing the printing of a collection of the rules of the committees of the Senate.","congress","R",0,1,0,"Passed senate"
"1596","SRES40","2017-02-01","A resolution designating the week beginning February 11, 2018, as ""National Tribal Colleges and Universities Week"".","native americans","D",6,11,0,"Passed senate"
"1614","SRES297","2017-10-19","A resolution supporting Lights On Afterschool, a national celebration of afterschool programs held on October 25, 2018.","education","D",1,0,0,"Passed senate"
"1616","SRES5","2017-01-03","A resolution expressing the sense of the Senate in support of Israel.","international affairs","R",2,0,0,"Introduced"
"1619","SRES99","2017-03-27","Providing official recognition of the massacre of 11 African-American soldiers of the 333rd Field Artillery Battalion of the United States Army who had been captured in Wereth, Belgium, during the Battle of the Bulge on December 17, 1944.","armed forces and national security","D",3,0,0,"Passed senate"
"1623","SRES255","2017-09-14","Congratulating the National Federation of Federal Employees on the celebration of its 100th anniversary and recognizing its members' vital contributions to the United States.","government operations and politics","D",0,0,0,"Introduced"
"1624","SRES7","2017-01-05","A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","R",0,0,0,"Passed senate"
"1625","SRES19","2017-01-23","A resolution denouncing the deadly attack at Fort Lauderdale-Hollywood International Airport, honoring the lives of the victims, offering condolences to their families, friends, and all those affected, and commending the efforts of law enforcement and emergency response personnel in responding to the incident.","crime and law enforcement","R",1,1,0,"Passed senate"
"1628","SRES10","2017-01-10","Expressing the sense of the House of Representatives regarding the trafficking of illicit fentanyl into the United States from Mexico and China.","international affairs","D",2,1,1,"Introduced"
"1633","SRES267","2017-09-25","Designating September 2018 as ""National Workforce Development Month"" and recognizing the necessity of investing in workforce development to support workers and to help employers succeed in a global economy.","labor and employment","D",7,13,0,"Passed senate"
"1654","SRES9","2017-01-10","A resolution honoring in praise and remembrance the extraordinary life, steady leadership, and remarkable, 70-year reign of King Bhumibol Adulyadej of Thailand.","international affairs","R",5,3,0,"Passed senate"
"1663","SRES696","2018-11-15","A resolution permitting the collection of clothing, toys, food, and housewares during the holiday season for charitable purposes in Senate buildings.","congress","R",0,1,0,"Passed senate"
"1665","SRES214","2017-06-29","Recognizing June 19, 2018, as this year's observance of the historical significance of Juneteenth Independence Day.","civil rights and liberties, minority issues","R",15,28,1,"Passed senate"
"1710","SRES127","2017-04-07","A resolution supporting the goals and ideals of Take Our Daughters And Sons To Work Day.","education","R",0,1,0,"Passed senate"
"1712","SRES44","2017-02-03","A resolution designating the week of February 5 through February 9, 2018, as ""National School Counseling Week"".","education","D",2,9,1,"Passed senate"
"1725","SRES17","2017-01-20","A resolution to constitute the minority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.","congress","D",0,0,0,"Passed senate"
"1726","SRES93","2017-03-23","A resolution congratulating the European Union on the 60th anniversary of the signing of the Treaty of Rome, which established the European Economic Community and laid the foundation for decades of European peace and prosperity.","international affairs","D",1,1,0,"Introduced"
"1729","SRES422","2018-03-01","Encouraging people in the United States to recognize March 2, 2017, as Read Across America Day.","education","R",2,7,0,"Passed senate"
"1739","SRES39","2017-02-01","An original resolution authorizing expenditures by the Committee on Health, Education, Labor, and Pensions.","congress","R",0,0,0,"Introduced"
"1740","SRES105","2017-03-30","A resolution recognizing 2017 as the 100th anniversary of the creation of the 41st Division.","armed forces and national security","D",0,1,0,"Passed senate"
"1742","SRES603","2018-08-01","A resolution designating September 2017 as ""School Bus Safety Month"".","transportation and public works","R",0,1,0,"Passed senate"
"1744","SRES609","2018-08-16","A resolution relative to the death of Paul Laxalt, the former Governor and Senator of the State of Nevada.","congress","R",50,47,2,"Passed senate"
"1844","SRES648","2018-09-25","Expressing support for the designation of September 2017 as ""Pulmonary Fibrosis Awareness Month"".","health","D",3,5,1,"Passed senate"
"1854","SRES625","2018-09-12","A resolution designating the week beginning September 10, 2017, as ""National Direct Support Professionals Recognition Week"".","health","D",1,13,1,"Passed senate"
"1870","SRES287","2017-10-05","A resolution designating October 8, 2018, as ""National Hydrogen and Fuel Cell Day"".","energy","R",0,2,0,"Passed senate"
"1873","SRES630","2018-09-17","Celebrating the 10th anniversary of the Women's Congressional Staff Association.","congress","D",1,0,0,"Passed senate"
"1875","SRES639","2018-09-18","A resolution designating the week beginning September 18, 2017, as ""National Hispanic-Serving Institutions Week"".","education","D",3,8,1,"Passed senate"
"1888","SRES631","2018-09-18","A resolution recognizing the 50th anniversary of the Indian Civil Rights Act and voting rights for American Indian and Alaska Native communities across the country.","civil rights and liberties, minority issues","D",0,2,0,"Introduced"
"1891","SRES700","2018-11-15","A resolution relative to the death of the Honorable Walter ""Dee"" Huddleston, former United States Senator for the Commonwealth of Kentucky.","congress","R",0,0,0,"Passed senate"
